s_no,budget_head,name_of_sub_scheme_,ftr_hq,shq,work_description,executive_agency,aa_es_reference,sd_amount_lakh,ts_date,tender_date,acceptance_date,award_date,time_allowed_days,pdc_agreement,pdc_revised,firm_name,physical_progress,expenditure_previous_fy,expenditure_current_fy,expenditure_total,expenditure_percent,remarks
15,BIMW(IA),Mahila Barrack,Jammu,JMU,BOP Narayanpur,Dept,239- H dated 27/03/2023         ,₹ 50.05,28.07.2023,06.10.2023,02.01.2024,1/5/24,9,13.10.2024,31.03.25,M/s Swarn Kumar,74 %,₹ 28.44,-₹ 28.44,₹ 0.00,0.00 %,Work in progress
16,BIMW(IA),Mahila Barrack,Jammu,JMU,BOP Stop-II,Dept,239- H dated 27/03/2023         ,₹ 50.05,28.07.2023,29.11.2023,02.01.2024,1/12/24,9,13.10.2024,28.02.25,M/s Dilbag Singh Contractor,99 %,₹ 24.83,-₹ 24.83,₹ 0.00,0.00 %,Work in progress
17,BIMW(IA),Mahila Barrack,Jammu,I/NAGAR,BOP Karol Krishna ,Dept,239- H dated 27/03/2023         ,₹ 50.05,13.07.2023,02.08.2023,04.01.2024,2/1/24,11,18.01.2025,28.02.25,M/s Raj Kumar,100 %,₹ 24.85,-₹ 24.85,₹ 0.00,0.00 %,Work completed & final bill under preparation.
18,BIMW(IA),Mahila Barrack,Jammu,I/NAGAR,BOP Chandwan,Dept,239- H dated 27/03/2023         ,₹ 50.05,13.07.2023,02.08.2023,04.01.2024,2/1/24,11,18.01.2025,28.02.25,M/s Raj Kumar,100 %,₹ 26.97,-₹ 26.97,₹ 0.00,0.00 %,Work completed & final bill under preparation.
19,BIMW(IA),Mahila Barrack,Jammu,I/NAGAR,BOP Manihari ,Dept,239- H dated 27/03/2023         ,₹ 50.05,13.07.2023,02.08.2023,01.02.2024,2/14/24,12,10.02.2025,28.02.25,M/s Raj Kumar,100 %,₹ 26.86,-₹ 26.86,₹ 0.00,0.00 %,Work completed & final bill under preparation.
20,BIMW(IA),Mahila Barrack,Jammu,I/NAGAR,BOP Vinay,Dept,239- H dated 27/03/2023         ,₹ 50.05,13.07.2023,01.09.2023,16.10.2023,10/20/23,12,30.10.2024,31.03.25,Sh Inderjeet Singh,72 %,₹ 15.89,-₹ 15.89,₹ 0.00,0.00 %,Work is in progress.
21,BIMW(IA),Mahila Barrack,Jammu,I/NAGAR,BOP Paharpur ,Dept,239- H dated 27/03/2023         ,₹ 50.05,13.07.2023,01.09.2023,16.10.2023,10/20/23,12,26.10.2024,28.02.25,Sh Inderjeet Singh,90 %,₹ 11.27,-₹ 11.27,₹ 0.00,0.00 %,Work in progress & 2nd RA bill amounting Rs. 8;29;321/- passed
22,BIMW(IA),Mahila Barrack,Jammu,I/NAGAR,BOP Bobiya,Dept,239- H dated 27/03/2023         ,₹ 50.05,12.07.2023,11.08.2023,29.08.2023,9/6/23,12,10.09.24,,M/s Kanwal Nain Behl,100 %,₹ 46.09,-₹ 46.09,₹ 0.00,0.00 %,Work completed.
23,BIMW(IA),Mahila Barrack,Jammu,I/NAGAR,BOP Chakdulma,Dept,239- H dated 27/03/2023         ,₹ 50.05,13.07.2023,02.08.2023,04.01.2024,01.02.2024,11,01.02.25,,M/s Kanwal Nain Behl,100 %,₹ 44.13,-₹ 44.13,₹ 0.00,0.00 %,Work completed.
24,BIMW(IA),Mahila Barrack,Jammu,I/NAGAR,BOP Manguchak,Dept,239- H dated 27/03/2023         ,₹ 50.05,13.07.2023,02.08.2023,01.02.2024,2/16/24,11,09.01.25,,Bharat Bhusan Gupta,100 %,₹ 0.37,-₹ 0.37,₹ 0.00,0.00 %,"Work completed. 1st & Final bill for Rs. 43;03;607/- passed.
"
25,BIMW(IA),Mahila Barrack,Jammu,I/NAGAR,BOP Chilliyari ,Dept,239- H dated 27/03/2023         ,₹ 50.05,13.07.2023,02.08.2023,29.08.2023,9/6/23,12,09.09.24,,M/s Bharat Bhusan Gupta,100 %,₹ 19.42,-₹ 19.42,₹ 0.00,0.00 %,Work completed. Bill for Rs. 25;34;783/- pending with HQ.
26,BIMW(IA),Mahila Barrack,Jammu,I/NAGAR, BOP Galar,Dept,239- H dated 27/03/2023         ,₹ 50.05,13.07.2023,02.08.2023,29.08.2023,9/9/23,12,09.09.24,,M/s Surinder Mohan Gupta,100 %,₹ 24.94,-₹ 24.94,₹ 0.00,0.00 %,Work completed. 2nd & final bill for Rs. 16;56;635/-  pending with HQ.
27,BIMW(IA),Mahila Barrack,Jammu,I/NAGAR,BOP Malluchak,Dept,239- H dated 27/03/2023         ,₹ 50.05,13.07.2023,02.08.2023,29.08.2023,9/6/23,12,10.09.24,,M/s Virendra Builders,100 %,₹ 31.92,-₹ 31.92,₹ 0.00,0.00 %,Work completed. 4th & final bill for  Rs. 7;77;880/-  passed
28,BIMW(IA),Mahila Barrack,Jammu,I/NAGAR,BOP Ballhar,Dept,239- H dated 27/03/2023         ,₹ 50.05,13.07.2023,02.08.2023,29.08.2023,9/7/23,12,09.09.24,,M/s Virendra Builders,100 %,₹ 35.40,-₹ 35.40,₹ 0.00,0.00 %,Work completed. 4th & final bill for Rs. 7;14;326/-  pending with HQ.
29,BIMW(IA),Mahila Barrack,Jammu,I/NAGAR, BOP Suresh,Dept,239- H dated 27/03/2023         ,₹ 50.05,13.07.2023,11.08.2023,29.08.2023,9/6/23,12,05.09.24,,M/s Surinder Mohan Gupta,100 %,₹ 26.05,-₹ 26.05,₹ 0.00,0.00 %,"Work completed. 2nd & final bill for Rs. 15;94;764/-  pending with HQ.
"
30,BIMW(IA),Mahila Barrack,Jammu,SBN,BOP Beliazmat,Dept,239- H dated 27/03/2023         ,₹ 50.05,08.09.2023,29.09.2023,27.10.2023,11/1/23,7,6/30/24,31.03.25,Sh Swarn Kumar,92 %,₹ 37.86,-₹ 37.86,₹ 0.00,0.00 %,Work in progress.
31,BIMW(IA),Mahila Barrack,Jammu,SBN,BOP Nikowal ,Dept,239- H dated 27/03/2023         ,₹ 50.05,08.09.2023,29.09.2023,27.10.2023,11/1/23,7,30.06.24,31.03.25,Sh Swarn Kumar,92 %,₹ 31.16,-₹ 31.16,₹ 0.00,0.00 %,Work in progress and 3rd RA bill amounting to Rs.11;33;875/- pending with HQ.
32,BIMW(IA),Mahila Barrack,Jammu,SBN,BOP Malabela,Dept,239- H dated 27/03/2023         ,₹ 50.05,08.09.2023,29.09.2023,27.10.2023,11/1/23,7,30.06.24,31.03.25,Sh Swarn Kumar,96 %,₹ 29.08,-₹ 29.08,₹ 0.00,0.00 %,Work in progress and 3rd RA bill amounting to Rs.11;58;756/- pending with HQ.
33,BIMW(IA),Mahila Barrack,Punjab,GSP,BOP Abad,Dept,239- H dated 27/03/2023         ,50.63,20.07.2023,05.09.2023,29.09.2023,10/19/23,7,29.05.2024,31.03.25,M/S The Dehriwal Kiran,100 %,₹ 23.54,13.65672,₹ 37.20,73.47 %,Work Completed 
34,BIMW(IA),Mahila Barrack,Punjab,GSP,BOP Kassowal Fwd,Dept,239- H dated 27/03/2023         ,50.63,04.05.2023,05.09.2023,05.09.2023,9/21/23,6,13.03.2024,31.03.25,M/S Ajit Trading Company,55 %,₹ 16.53,0,₹ 16.53,32.65 %,Work in progress.
35,BIMW(IA),Mahila Barrack,Punjab,GSP,BOP Thakurpur,Dept,239- H dated 27/03/2023         ,50.63,20.07.2023,05.09.2023,05.09.2023,9/18/23,6,13.03.2024,31.03.25,M/S Goraya & Co.,100 %,₹ 39.44,0,₹ 39.44,77.91 %,Work completed  in all respect
36,BIMW(IA),Mahila Barrack,Punjab,GSP,BOP Jaitpur,Dept,239- H dated 27/03/2023         ,50.63,20.07.2023,05.09.2023,05.09.2023,9/18/23,6,13.03.2024,31.03.25,M/S Goraya & Co.,85 %,₹ 22.17,0,₹ 22.17,43.78 %,Work in progress.
37,BIMW(IA),Mahila Barrack,Punjab,GSP,BOP Bamial New tent Post,Dept,239- H dated 27/03/2023         ,50.63,04.05.2023,14.11.2023,05.09.2023,9/18/23,8,11.05.2024,31.03.25,M/S Goraya & Co.,100 %,₹ 27.10,0,₹ 27.10,53.53 %,Work Completed 
38,BIMW(IA),Mahila Barrack,Punjab,GSP,BOP Chountra,Dept,239- H dated 27/03/2023         ,50.63,09.11.2023,14.11.2023,01.01.2024,1/15/24,8,30.09.2024,31.03.25,M/S Baldev Raj,45 %,₹ 8.52,3.8829,₹ 12.41,24.50 %,Work in progress.
39,BIMW(IA),Mahila Barrack,Punjab,GSP,BOP Lassian ,Dept,239- H dated 27/03/2023         ,50.63,09.11.2023,14.11.2023,01.01.2024,1/15/24,8,30.09.2024,31.03.25,M/S Baldev Raj,45 %,₹ 10.82,4.42958,₹ 15.25,30.12 %,Work Complted 
40,BIMW(IA),Mahila Barrack,Punjab,ASR,BOP Daoke,Dept,239- H dated 27/03/2023         ,50.63,04.05.2023,26.07.2023,21.09.2023,10/10/23,5,29.03.2024,31.12.24,M/S Competent Engineers,100 %,₹ 34.48,0,₹ 34.48,68.11 %,work in progress.
41,BIMW(IA),Mahila Barrack,Punjab,ASR,BOP Karma,Dept,239- H dated 27/03/2023         ,50.63,04.05.2023,26.07.2023,08.09.2023,10/11/23,5,16.03.2024,31.12.24,M/S Singh Traders,34 %,₹ 16.07,0,₹ 16.07,31.74 %,work in progress.
42,BIMW(IA),Mahila Barrack,Punjab,ASR,BOP Kalamdogar,Dept,239- H dated 27/03/2023         ,50.63,04.05.2023,26.07.2023,08.09.2023,9/25/23,6,16.03.2024,31.12.24,M/S Gill Trading Co.,100 %,₹ 45.82,0,₹ 45.82,90.50 %,Work completed
43,BIMW(IA),Mahila Barrack,Punjab,ASR,BOP Khalra,Dept,239- H dated 27/03/2023         ,50.63,04.05.2023,26.07.2023,08.09.2023,9/25/23,6,16.03.2024,31.12.24,M/S Competent Engineers,100 %,₹ 31.71,0,₹ 31.71,62.62 %,Work completed
44,BIMW(IA),Mahila Barrack,Punjab,FZR,BOP Kalia,Dept,239- H dated 27/03/2023         ,50.63,03.05.2023,18.07.2023,11.09.2023,9/29/23,6,19.03.2024,30.10.24,M/S Jayant Construction,100 %,₹ 42.71,0,₹ 42.71,84.36 %,Work completed
45,BIMW(IA),Mahila Barrack,Punjab,FZR,BOP Harbhajan,Dept,239- H dated 27/03/2023         ,50.63,03.05.2023,18.07.2023,08.09.2023,10/10/23,5,16.03.2024,05.10.24,M/S Hardev Singh,100 %,₹ 42.62,0,₹ 42.62,84.18 %,Work completed
46,BIMW(IA),Mahila Barrack,Punjab,FZR,BOP Kulwant ,Dept,239- H dated 27/03/2023         ,50.63,03.05.2023,29.08.2023,12.09.2023,9/29/23,6,20.03.2024,30.10.24,M/S Jayant Construction,100 %,₹ 40.06,0,₹ 40.06,79.12 %,Work completed
47,BIMW(IA),Mahila Barrack,Punjab,FZR,BOP Bastiranlal,Dept,239- H dated 27/03/2023         ,50.63,03.05.2023,29.08.2023,09.09.2023,10/10/23,5,17.03.2024,15.11.24,M/S Ramandeep Singh,60 %,₹ 22.19,0,₹ 22.19,43.83 %,work in progress 
48,BIMW(IA),Mahila Barrack,Punjab,FZR,BOP Ullok,Dept,239- H dated 27/03/2023         ,50.63,03.05.2023,18.07.2023,09.09.2023,9/29/23,6,17.03.2024,30.10.24,M/S Manjeet Singh,100 %,₹ 23.75,11.7,₹ 35.45,70.01 %,Work completed
49,BIMW(IA),Mahila Barrack,Punjab,FZR,BOP L S Wala (FWD),Dept,239- H dated 27/03/2023         ,50.63,03.05.2023,18.07.2023,09.09.2023,10/10/23,5,17.03.2024,30.10.24,M/S Ramandeep Singh,100 %,₹ 29.54,14.08,₹ 43.62,86.15 %,work in progress 
50,BIMW(IA),Mahila Barrack,Punjab,FZR,BOP Rajamohatam,Dept,239- H dated 27/03/2023         ,50.63,03.05.2023,29.08.2023,09.09.2023,9/29/23,6,17.03.2024,15.10.24,M/S Arvind Kumar & Co.,100 %,₹ 22.46,21.68,₹ 44.14,87.18 %,Work completed
51,BIMW(IA),Mahila Barrack,Punjab,ABR,BOP Nauberam,Dept,239- H dated 27/03/2023         ,50.63,6.02.2025,20.02.2025,01.04.2025,15.04.2025,6,1010.2025,,M/S Arvind Kumar & Co.,45 %,₹ 19.16,₹ 0.00,₹ 19.16,37.84 %,"Work has been recsined 
Balance work awarded on 15.04.25 and in progress"
52,BIMW(IA),Mahila Barrack,Punjab,ABR,BOP N S Wala,Dept,239- H dated 27/03/2023         ,50.63,6.02.2025,20.02.2025,01.04.2025,15.04.2025,6,10/10/25,,M/S Arvind Kumar & Co.,30 %,₹ 13.83,₹ 0.00,₹ 13.83,27.32 %,"Origianl work has been recsined 
Balance work awarded on 15.04.25 and in progress"
53,BIMW(IA),Mahila Barrack,Punjab,ABR,BOP Samaske,Dept,239- H dated 27/03/2023         ,50.63,6.02.2025,20.02.2025,01.04.2025,45756,6,10/10/25,,M/S Lovish Arora,45 %,₹ 20.93,₹ 0.00,₹ 20.93,41.34 %,"Origianl work has been recsined 
Balance work awarded on 09.04.25 and in progress"
54,BIMW(IA),Mahila Barrack,Punjab,ABR,BOP Tahil Wala,Dept,239- H dated 27/03/2023         ,50.63,6.02.2025,20.02.2025,7/15/25,8/10/25,6,2/9/25,,Ms Ramesh Kumar Nikhang,30 %,₹ 11.55,₹ 0.00,₹ 11.55,22.81 %,"Origianl work has been recsined 
Balance work awarded on 10.08.25 and in progress."
55,BIMW(IA),Mahila Barrack,Punjab,ABR,BOP Lakha Asli,Dept,239- H dated 27/03/2023         ,50.63,6.02.2025,20.02.2025,01.04.2025,09.04.2025,6,10/10/25,,M/S Satpal Pujani,30 %,₹ 14.63,₹ 0.00,₹ 14.63,28.90 %,"Origianl work has been recsined 
Balance work awarded on 09.04.25 and in progress"
56,BIMW(IA),Mahila Barrack,Punjab,ABR,BOP GG-I ,Dept,239- H dated 27/03/2023         ,50.63,19.05.2023,01.09.2023,01.09.2023,9/18/23,6,09.03.2024,,M/S Satpal Pujani,5 %,₹ 1.60,₹ 0.00,₹ 1.60,3.16 %,Work has been recined Balance work ts awaited 
57,BIMW(IA),Mahila Barrack,Punjab,ABR,BOP Mauzam Base,Dept,239- H dated 27/03/2023         ,50.63,6.02.2025,20.02.2025,01.04.2025,09.04.2025,6,10/10/24,,M/S Lovish Arora ,60 %,₹ 26.84,₹ 0.00,₹ 26.84,53.01 %,"Origianl work has been recsined 
Balance work awarded on 09.04.25 and in progress"
58,BIMW(IA),Mahila Barrack,Punjab,ABR,BOP Bhainidlawar,Dept,239- H dated 27/03/2023         ,50.63,09.11.2023,14.11.2023,18.12.2023,4/4/24,6,22.09.2024,31.03.25,M/S Satpal Pujani,30,₹ 0.52,10.41,₹ 10.93,21.58 %,Work is in progresss 
59,BIMW(IA),Mahila Barrack,Punjab,ABR,BOP GG Base,Dept,239- H dated 27/03/2023         ,50.63,09.11.2023,14.11.2023,18.12.2023,1/4/24,8,22.09.2024,31.03.25,M/S Satpal Pujani,35,₹ 0.52,11.6,₹ 12.12,23.93 %,Work is in progresss 
60,BIMW(IA),Mahila Barrack,Punjab,ABR,BOP Roop Nagar,Dept,239- H dated 27/03/2023         ,50.63,09.11.2023,14.11.2023,18.12.2023,1/4/24,8,22.09.2024,31.03.25,M/S Satpal Pujani,35,₹ 0.52,10.65,₹ 11.17,22.05 %,Work is in progresss 
61,BIMW(IA),Mahila Barrack,Rajasthan,SGNR,BOP Khatta,Dept,239- H dated 27/03/2023         ,49.57,4/27/23,5/1/23,8/18/23,9/1/23,12,9/8/24,25.09.25,M/s Shree Builders SGNR,100 %,20.22,18.28,₹ 38.50,77.67 %,Work completed
62,BIMW(IA),Mahila Barrack,Rajasthan,SGNR,BOP K S Wala,Dept,239- H dated 27/03/2023         ,49.57,4/27/23,5/1/23,8/17/23,9/1/23,12,9/6/24,25.09.25,M/s Shree Builders SGNR,100 %,35.92,3.86,₹ 39.78,80.25 %,Work completed
63,BIMW(IA),Mahila Barrack,Rajasthan,SGNR,BOP Chitrakoot,Dept,239- H dated 27/03/2023         ,49.57,4/27/23,5/1/23,8/18/23,8/30/23,12,9/8/24,25.09.25,M/s Vyas Constr. SGNR ,100 %,22.39,16.48,₹ 38.87,78.41 %,Work completed and final bill under process
64,BIMW(IA),Mahila Barrack,Rajasthan,SGNR,BOP Kailash,Dept,239- H dated 27/03/2023         ,49.57,4/27/23,5/1/23,8/17/23,8/30/23,12,9/6/24,25.09.25,M/s Gupta Constr. SGNR,100 %,35.62,0,₹ 35.62,71.86 %,Work completed
65,BIMW(IA),Mahila Barrack,Rajasthan,SGNR,BOP 24-O,Dept,239- H dated 27/03/2023         ,49.57,4/27/23,5/1/23,8/17/23,9/8/23,12,9/6/24,25.09.25,M/s Shree Builders SGNR,100 %,39.6,0,₹ 39.60,79.89 %,Work completed
66,BIMW(IA),Mahila Barrack,Rajasthan,SGNR,BOP Binjour,Dept,239- H dated 27/03/2023         ,49.57,4/27/23,5/1/23,8/17/23,8/30/23,13,9/6/24,25.09.25,M/s Vyas Constr. SGNR ,100 %,31.38,0,₹ 31.38,63.30 %,Work completed and final bill under process
67,BIMW(IA),Mahila Barrack,Rajasthan,SGNR,OP Madanlal,Dept,239- H dated 27/03/2023         ,49.57,4/27/23,5/1/23,8/17/23,9/8/23,12,9/6/24,25.09.25,M/s Shree Builders SGNR,100 %,37.9,0,₹ 37.90,76.46 %,Work completed
68,BIMW(IA),Mahila Barrack,Rajasthan,SGNR,BOP Kholi ,Dept,239- H dated 27/03/2023         ,49.57,4/24/23,5/1/23,8/17/23,8/28/23,12,9/6/24,25.09.25,M/s Surya Builders; SGNR,100 %,24.96,22.89,₹ 47.85,96.53 %,Work completed
69,BIMW(IA),Mahila Barrack,Rajasthan,SGNR,BOP Naggi ,Dept,239- H dated 27/03/2023         ,49.57,4/27/23,5/1/23,8/18/23,9/6/23,12,9/8/24,25.09.25,M/s Sahil Constr. SGNR,85 %,22.75,0,₹ 22.75,45.89 %,Work is in progress
70,BIMW(IA),Mahila Barrack,Rajasthan,SGNR,BOP 5-S,Dept,239- H dated 27/03/2023         ,49.57,4/27/23,5/1/23,8/17/23,8/28/23,12,9/6/24,25.09.25,M/s Surya Builders; SGNR,100 %,39.01,0,₹ 39.01,78.70 %,Work completed
71,BIMW(IA),Mahila Barrack,Rajasthan,SGNR,BOP Khakian,Dept,239- H dated 27/03/2023         ,49.57,4/27/23,5/1/23,8/17/23,9/1/23,12,9/6/24,25.09.25,M/s Shree Builders SGNR,100 %,23.11,15.9,₹ 39.01,78.70 %,Work completed
72,BIMW(IA),Mahila Barrack,Rajasthan,SGNR,BOP HMK,Dept,239- H dated 27/03/2023         ,49.57,4/27/23,5/1/23,8/17/23,9/8/23,12,9/6/24,25.09.25,M/s Shree Builders SGNR,100 %,31.26,5.59,₹ 36.85,74.34 %,Work completed
73,BIMW(IA),Mahila Barrack,Rajasthan,SGNR,BOP Q-Head,Dept,239- H dated 27/03/2023         ,49.57,4/27/23,5/1/23,8/17/23,9/8/23,12,9/6/24,25.09.25,M/s Shree Builders SGNR,100 %,31.82,15.32,₹ 47.14,95.10 %,Work completed
74,BIMW(IA),Mahila Barrack,Rajasthan,SGNR,BOP Khyaliwala,Dept,239- H dated 27/03/2023         ,49.57,4/28/23,5/1/23,8/18/23,9/1/23,12,9/8/24,25.09.25,M/s Shree Builders SGNR,100 %,32.16,7.62,₹ 39.78,80.25 %,Work completed
75,BIMW(IA),Mahila Barrack,Rajasthan,SGNR, BOP Sheikhsarpal,Dept,239- H dated 27/03/2023         ,49.57,4/28/23,5/1/23,8/17/23,8/28/23,12,9/6/24,25.09.25,M/s Surya Builders; SGNR,100 %,24.99,21.93,₹ 46.92,94.65 %,Work completed
76,BIMW(IA),Mahila Barrack,Rajasthan,SGNR,BOP 2 BNM,Dept,239- H dated 27/03/2023         ,49.57,4/28/23,5/1/23,8/18/23,8/30/23,12,9/8/24,25.09.25,M/s Gupta Constr. SGNR,100 %,20.02,19.96,₹ 39.98,80.65 %,Work completed
77,BIMW(IA),Mahila Barrack,Rajasthan,BKNR,BOP Goverdhan,Dept,239- H dated 27/03/2023         ,49.57,4/25/23,4/29/23,7/27/23,8/9/23,12,8/16/24,25.09.25,M/S HIMGIRI CONSTRUCTION CO. SGNR,100 %,25.28,11.04,₹ 36.32,73.27 %,Work completed
78,BIMW(IA),Mahila Barrack,Rajasthan,BKNR,BOP K K Tibba,Dept,239- H dated 27/03/2023         ,49.57,4/25/23,4/29/23,7/27/23,8/11/23,12,8/16/24,25.09.25,M/S Prem Jeet Luthra and Company,85 %,21.33,0,₹ 21.33,43.03 %,Work is in progress
79,BIMW(IA),Mahila Barrack,Rajasthan,BKNR,BOP Sakhi,Dept,239- H dated 27/03/2023         ,49.57,4/25/23,4/29/23,7/27/23,8/9/23,12,8/16/24,25.09.25,M/S HIMGIRI CONSTRUCTION CO. SGNR,100 %,30.33,6.77,₹ 37.10,74.84 %,Work completed
80,BIMW(IA),Mahila Barrack,Rajasthan,BKNR,BOP Jagdev,Dept,239- H dated 27/03/2023         ,49.57,4/25/23,4/29/23,7/27/23,8/4/23,12,8/16/24,25.09.25,M/S MAMRAJ BHADU CONSTRUCTION . CO. BIKANER (RAJ),100 %,42.6,0,₹ 42.60,85.94 %,Work completed
81,BIMW(IA),Mahila Barrack,Rajasthan,BKNR,BOP Himgiri,Dept,239- H dated 27/03/2023         ,49.57,4/25/23,4/29/23,7/27/23,8/4/23,12,8/16/24,25.09.25,MS/ SIYAG CONSTRUCTION COMPANY; BIKANER (RAJ),100 %,41.63,2.27,₹ 43.90,88.56 %,Work completed
82,BIMW(IA),Mahila Barrack,Rajasthan,BKNR,BOP Maruti ,Dept,239- H dated 27/03/2023         ,49.57,4/25/23,4/29/23,7/27/23,8/11/23,12,8/16/24,25.09.25,M/S Godara Construction Co.; Bikaner,40 %,14.22,0,₹ 14.22,28.69 %,Work is in progress Rs; 7.46  Lakh bill pending with this HQ due to insufficient  fund 
83,BIMW(IA),Mahila Barrack,Rajasthan,BKNR,BOP Neechewali,Dept,239- H dated 27/03/2023         ,49.57,4/25/23,4/29/23,7/27/23,8/4/23,12,8/16/24,25.09.25,M/S MEGH RAJ AND COMPANY  BIKANER (RAJ),60 %,22.62,0,₹ 22.62,45.63 %,Work is in progress
84,BIMW(IA),Mahila Barrack,Rajasthan,BKNR,BOP Satpal,Dept,239- H dated 27/03/2023         ,49.57,4/25/23,4/29/23,7/27/23,8/9/23,12,8/16/24,25.09.25,M/S Rakshak Constr Bikaner - 334001,100 %,21.7,0,₹ 21.70,43.78 %,Work completed
85,BIMW(IA),Mahila Barrack,Rajasthan,BKNR,BOP Pabni,Dept,239- H dated 27/03/2023         ,49.57,4/25/23,4/29/23,7/27/23,8/4/23,12,8/16/24,25.09.25,MS/ Siyag Const com. Bikaner  (RAJ),60 %,22.65,0,₹ 22.65,45.69 %,Work is in progress
