source_sheet,serial_no,budget_head,scheme_name,ftr_hq,shq,work_site,executive_agency,aa_es_ref,sanctioned_amount,date_ts,date_tender,date_acceptance,date_award,time_allowed_days,pdc_agreement,revised_pdc,actual_completion_date,firm_name,physical_progress,progress_status,expdr_upto_31mar25,expdr_cfy,total_expdr,percent_expdr,remarks,serial_no_1
MAHILA BARRACK,16,OB(BS),Ren Devl works,Jammu,JMU,BOP Stop-II,Dept,239- H dated 27/03/2023,50.05,2023-07-28,2023-11-29,2024-01-02,2024-12-01,9.0,2024-10-13,2025-02-28,,M/s Dilbag Singh Contractor,99.0,,24.830000000000002,-24.830000000000002,0.0,0.0,Work in progress,
MAHILA BARRACK,17,OB(BS),Ren Devl works,Jammu,I/NAGAR,BOP Karol Krishna,Dept,239- H dated 27/03/2023,50.05,2023-07-13,2023-08-02,2024-01-04,2024-01-02,11.0,2025-01-18,2025-02-28,,M/s Raj Kumar,100.0,,24.85,-24.85,0.0,0.0,Work completed & final bill under preparation.,
MAHILA BARRACK,18,OB(BS),Ren Devl works,Jammu,I/NAGAR,BOP Chandwan,Dept,239- H dated 27/03/2023,50.05,2023-07-13,2023-08-02,2024-01-04,2024-01-02,11.0,2025-01-18,2025-02-28,,M/s Raj Kumar,100.0,,26.970000000000002,-26.970000000000002,0.0,0.0,Work completed & final bill under preparation.,
MAHILA BARRACK,19,OB(BS),Ren Devl works,Jammu,I/NAGAR,BOP Manihari,Dept,239- H dated 27/03/2023,50.05,2023-07-13,2023-08-02,2024-02-01,2024-02-14,12.0,2025-02-10,2025-02-28,,M/s Raj Kumar,100.0,,26.86,-26.86,0.0,0.0,Work completed & final bill under preparation.,
MAHILA BARRACK,20,OB(BS),Ren Devl works,Jammu,I/NAGAR,BOP Vinay,Dept,239- H dated 27/03/2023,50.05,2023-07-13,2023-09-01,2023-10-16,2023-10-20,12.0,2024-10-30,2025-03-31,,Sh Inderjeet Singh,72.0,,15.89,-15.89,0.0,0.0,Work is in progress.,
MAHILA BARRACK,21,OB(BS),Ren Devl works,Jammu,I/NAGAR,BOP Paharpur,Dept,239- H dated 27/03/2023,50.05,2023-07-13,2023-09-01,2023-10-16,2023-10-20,12.0,2024-10-26,2025-02-28,,Sh Inderjeet Singh,90.0,,11.270000000000001,-11.270000000000001,0.0,0.0,"Work in progress & 2nd RA bill amounting Rs. 8,29,321/- passed",
MAHILA BARRACK,22,OB(BS),Ren Devl works,Jammu,I/NAGAR,BOP Bobiya,Dept,239- H dated 27/03/2023,50.05,2023-07-12,2023-08-11,2023-08-29,2023-06-09,12.0,2024-09-10,,2024-09-10,M/s Kanwal Nain Behl,100.0,,46.09,-46.09,0.0,0.0,Work completed.,
MAHILA BARRACK,23,OB(BS),Ren Devl works,Jammu,I/NAGAR,BOP Chakdulma,Dept,239- H dated 27/03/2023,50.05,2023-07-13,2023-08-02,2024-01-04,2024-02-01,11.0,2025-02-01,,2024-09-10,M/s Kanwal Nain Behl,100.0,,44.13,-44.13,0.0,0.0,Work completed.,
MAHILA BARRACK,24,OB(BS),Ren Devl works,Jammu,I/NAGAR,BOP Manguchak,Dept,239- H dated 27/03/2023,50.05,2023-07-13,2023-08-02,2024-02-01,2024-02-16,11.0,2025-01-09,,2025-01-20,Bharat Bhusan Gupta,100.0,,0.37,-0.37,0.0,0.0,"Work completed. 1st & Final bill for Rs. 43,03,607/- passed.",
MAHILA BARRACK,25,OB(BS),Ren Devl works,Jammu,I/NAGAR,BOP Chilliyari,Dept,239- H dated 27/03/2023,50.05,2023-07-13,2023-08-02,2023-08-29,2023-06-09,12.0,2024-09-09,,2024-12-20,M/s Bharat Bhusan Gupta,100.0,,19.42,-19.42,0.0,0.0,"Work completed. Bill for Rs. 25,34,783/- pending with HQ.",
MAHILA BARRACK,26,OB(BS),Ren Devl works,Jammu,I/NAGAR,BOP Galar,Dept,239- H dated 27/03/2023,50.05,2023-07-13,2023-08-02,2023-08-29,2023-09-09,12.0,2024-09-09,,2024-12-30,M/s Surinder Mohan Gupta,100.0,,24.94,-24.94,0.0,0.0,"Work completed. 2nd & final bill for Rs. 16,56,635/-  pending with HQ.",
MAHILA BARRACK,27,OB(BS),Ren Devl works,Jammu,I/NAGAR,BOP Malluchak,Dept,239- H dated 27/03/2023,50.05,2023-07-13,2023-08-02,2023-08-29,2023-06-09,12.0,2024-09-10,,2024-09-10,M/s Virendra Builders,100.0,,31.92,-31.92,0.0,0.0,"Work completed. 4th & final bill for  Rs. 7,77,880/-  passed",
MAHILA BARRACK,28,OB(BS),Ren Devl works,Jammu,I/NAGAR,BOP Ballhar,Dept,239- H dated 27/03/2023,50.05,2023-07-13,2023-08-02,2023-08-29,2023-07-09,12.0,2024-09-09,,2025-01-21,M/s Virendra Builders,100.0,,35.4,-35.4,0.0,0.0,"Work completed. 4th & final bill for Rs. 7,14,326/-  pending with HQ.",
MAHILA BARRACK,29,OB(BS),Ren Devl works,Jammu,I/NAGAR,BOP Suresh,Dept,239- H dated 27/03/2023,50.05,2023-07-13,2023-08-11,2023-08-29,2023-06-09,12.0,2024-09-05,,2024-12-30,M/s Surinder Mohan Gupta,100.0,,26.05,-26.05,0.0,0.0,"Work completed. 2nd & final bill for Rs. 15,94,764/-  pending with HQ.",
MAHILA BARRACK,30,OB(BS),Ren Devl works,Jammu,SBN,BOP Beliazmat,Dept,239- H dated 27/03/2023,50.05,2023-09-08,2023-09-29,2023-10-27,2023-01-11,7.0,2024-06-30,2025-03-31,,Sh Swarn Kumar,92.0,,37.86,-37.86,0.0,0.0,Work in progress.,
MAHILA BARRACK,31,OB(BS),Ren Devl works,Jammu,SBN,BOP Nikowal,Dept,239- H dated 27/03/2023,50.05,2023-09-08,2023-09-29,2023-10-27,2023-01-11,7.0,2024-06-30,2025-03-31,,Sh Swarn Kumar,92.0,,31.16,-31.16,0.0,0.0,"Work in progress and 3rd RA bill amounting to Rs.11,33,875/- pending with HQ.",
MAHILA BARRACK,32,OB(BS),Ren Devl works,Jammu,SBN,BOP Malabela,Dept,239- H dated 27/03/2023,50.05,2023-09-08,2023-09-29,2023-10-27,2023-01-11,7.0,2024-06-30,2025-03-31,,Sh Swarn Kumar,96.0,,29.08,-29.08,0.0,0.0,"Work in progress and 3rd RA bill amounting to Rs.11,58,756/- pending with HQ.",
MAHILA BARRACK,33,OB(BS),Ren Devl works,Punjab,GSP,BOP Abad,Dept,239- H dated 27/03/2023,50.63,2023-07-20,2023-09-05,2023-09-29,2023-10-19,7.0,2024-05-29,2025-03-31,,M/S The Dehriwal Kiran,100.0,,23.54,13.65672,37.19672,73.47,Work Completed,
MAHILA BARRACK,34,OB(BS),Ren Devl works,Punjab,GSP,BOP Kassowal Fwd,Dept,239- H dated 27/03/2023,50.63,2023-05-04,2023-09-05,2023-09-05,2023-09-21,6.0,2024-03-13,2025-03-31,,M/S Ajit Trading Company,55.0,,16.53,0.0,16.53,32.65,Work in progress.,
MAHILA BARRACK,35,OB(BS),Ren Devl works,Punjab,GSP,BOP Thakurpur,Dept,239- H dated 27/03/2023,50.63,2023-07-20,2023-09-05,2023-09-05,2023-09-18,6.0,2024-03-13,2025-03-31,,M/S Goraya & Co.,100.0,,39.444950000000006,0.0,39.444950000000006,77.91,Work completed  in all respect,
MAHILA BARRACK,36,OB(BS),Ren Devl works,Punjab,GSP,BOP Jaitpur,Dept,239- H dated 27/03/2023,50.63,2023-07-20,2023-09-05,2023-09-05,2023-09-18,6.0,2024-03-13,2025-03-31,,M/S Goraya & Co.,85.0,,22.1669,0.0,22.1669,43.78,Work in progress.,
MAHILA BARRACK,37,OB(BS),Ren Devl works,Punjab,GSP,BOP Bamial New tent Post,Dept,239- H dated 27/03/2023,50.63,2023-05-04,2023-11-14,2023-09-05,2023-09-18,8.0,2024-05-11,2025-03-31,,M/S Goraya & Co.,100.0,,27.1,0.0,27.1,53.53,Work Completed,
MAHILA BARRACK,38,OB(BS),Ren Devl works,Punjab,GSP,BOP Chountra,Dept,239- H dated 27/03/2023,50.63,2023-11-09,2023-11-14,2024-01-01,2024-01-15,8.0,2024-09-30,2025-03-31,,M/S Baldev Raj,45.0,,8.52338,3.8829,12.406279999999999,24.5,Work in progress.,
MAHILA BARRACK,39,OB(BS),Ren Devl works,Punjab,GSP,BOP Lassian,Dept,239- H dated 27/03/2023,50.63,2023-11-09,2023-11-14,2024-01-01,2024-01-15,8.0,2024-09-30,2025-03-31,,M/S Baldev Raj,45.0,,10.8199,4.42958,15.24948,30.12,Work Complted,
MAHILA BARRACK,40,OB(BS),Ren Devl works,Punjab,ASR,BOP Daoke,Dept,239- H dated 27/03/2023,50.63,2023-05-04,2023-07-26,2023-09-21,2023-10-10,5.0,2024-03-29,2024-12-31,,M/S Competent Engineers,100.0,,34.48401,0.0,34.48401,68.11,work in progress.,
MAHILA BARRACK,41,OB(BS),Ren Devl works,Punjab,ASR,BOP Karma,Dept,239- H dated 27/03/2023,50.63,2023-05-04,2023-07-26,2023-09-08,2023-11-10,5.0,2024-03-16,2024-12-31,,M/S Singh Traders,34.0,,16.07,0.0,16.07,31.74,work in progress.,
MAHILA BARRACK,42,OB(BS),Ren Devl works,Punjab,ASR,BOP Kalamdogar,Dept,239- H dated 27/03/2023,50.63,2023-05-04,2023-07-26,2023-09-08,2023-09-25,6.0,2024-03-16,2024-12-31,,M/S Gill Trading Co.,100.0,,45.82,0.0,45.82,90.5,Work completed,
MAHILA BARRACK,43,OB(BS),Ren Devl works,Punjab,ASR,BOP Khalra,Dept,239- H dated 27/03/2023,50.63,2023-05-04,2023-07-26,2023-09-08,2023-09-25,6.0,2024-03-16,2024-12-31,,M/S Competent Engineers,100.0,,31.70556,0.0,31.70556,62.62,Work completed,
MAHILA BARRACK,44,OB(BS),Ren Devl works,Punjab,FZR,BOP Kalia,Dept,239- H dated 27/03/2023,50.63,2023-05-03,2023-07-18,2023-09-11,2023-09-29,6.0,2024-03-19,2024-10-30,,M/S Jayant Construction,100.0,,42.71234,0.0,42.71234,84.36,Work completed,
MAHILA BARRACK,45,OB(BS),Ren Devl works,Punjab,FZR,BOP Harbhajan,Dept,239- H dated 27/03/2023,50.63,2023-05-03,2023-07-18,2023-09-08,2023-10-10,5.0,2024-03-16,2024-10-05,,M/S Hardev Singh,100.0,,42.62256,0.0,42.62256,84.18,Work completed,
MAHILA BARRACK,46,OB(BS),Ren Devl works,Punjab,FZR,BOP Kulwant,Dept,239- H dated 27/03/2023,50.63,2023-05-03,2023-08-29,2023-09-12,2023-09-29,6.0,2024-03-20,2024-10-30,,M/S Jayant Construction,100.0,,40.0608,0.0,40.0608,79.12,Work completed,
MAHILA BARRACK,47,OB(BS),Ren Devl works,Punjab,FZR,BOP Bastiranlal,Dept,239- H dated 27/03/2023,50.63,2023-05-03,2023-08-29,2023-09-09,2023-10-10,5.0,2024-03-17,2024-11-15,,M/S Ramandeep Singh,60.0,,22.19127,0.0,22.19127,43.83,work in progress,
MAHILA BARRACK,48,OB(BS),Ren Devl works,Punjab,FZR,BOP Ullok,Dept,239- H dated 27/03/2023,50.63,2023-05-03,2023-07-18,2023-09-09,2023-09-29,6.0,2024-03-17,2024-10-30,,M/S Manjeet Singh,100.0,,23.747290000000003,11.7,35.44729,70.01,Work completed,
MAHILA BARRACK,49,OB(BS),Ren Devl works,Punjab,FZR,BOP L S Wala (FWD),Dept,239- H dated 27/03/2023,50.63,2023-05-03,2023-07-18,2023-09-09,2023-10-10,5.0,2024-03-17,2024-10-30,,M/S Ramandeep Singh,100.0,,29.539279999999998,14.08,43.619279999999996,86.15,work in progress,
MAHILA BARRACK,50,OB(BS),Ren Devl works,Punjab,FZR,BOP Rajamohatam,Dept,239- H dated 27/03/2023,50.63,2023-05-03,2023-08-29,2023-09-09,2023-09-29,6.0,2024-03-17,2024-10-15,,M/S Arvind Kumar & Co.,100.0,,22.459,21.68,44.138999999999996,87.18,Work completed,
MAHILA BARRACK,51,OB(BS),Ren Devl works,Punjab,ABR,BOP Nauberam,Dept,239- H dated 27/03/2023,50.63,2025-02-06,2025-02-20,2025-04-01,2025-04-15,6.0,,,,M/S Arvind Kumar & Co.,45.0,,19.16,0.0,19.16,37.84,"Work has been recsined 
Balance work awarded on 15.04.25 and in progress",
MAHILA BARRACK,52,OB(BS),Ren Devl works,Punjab,ABR,BOP N S Wala,Dept,239- H dated 27/03/2023,50.63,2025-02-06,2025-02-20,2025-04-01,2025-04-15,6.0,2025-10-10,,,M/S Arvind Kumar & Co.,30.0,,13.83,0.0,13.83,27.32,"Origianl work has been recsined 
Balance work awarded on 15.04.25 and in progress",
MAHILA BARRACK,53,OB(BS),Ren Devl works,Punjab,ABR,BOP Samaske,Dept,239- H dated 27/03/2023,50.63,2025-02-06,2025-02-20,2025-04-01,,6.0,2025-10-10,,,M/S Lovish Arora,45.0,,20.93,0.0,20.93,41.34,"Origianl work has been recsined 
Balance work awarded on 09.04.25 and in progress",
MAHILA BARRACK,54,OB(BS),Ren Devl works,Punjab,ABR,BOP Tahil Wala,Dept,239- H dated 27/03/2023,50.63,2025-02-06,2025-02-20,2025-07-15,2025-10-08,6.0,2025-09-02,,,Ms Ramesh Kumar Nikhang,30.0,,11.549999999999999,0.0,11.549999999999999,22.81,"Origianl work has been recsined 
Balance work awarded on 10.08.25 and in progress.",
MAHILA BARRACK,55,OB(BS),Ren Devl works,Punjab,ABR,BOP Lakha Asli,Dept,239- H dated 27/03/2023,50.63,2025-02-06,2025-02-20,2025-04-01,2025-04-09,6.0,2025-10-10,,,M/S Satpal Pujani,30.0,,14.63,0.0,14.63,28.9,"Origianl work has been recsined 
Balance work awarded on 09.04.25 and in progress",
MAHILA BARRACK,56,OB(BS),Ren Devl works,Punjab,ABR,BOP GG-I,Dept,239- H dated 27/03/2023,50.63,2023-05-19,2023-09-01,2023-09-01,2023-09-18,6.0,2024-03-09,,,M/S Satpal Pujani,5.0,,1.6,0.0,1.6,3.16,Work has been recined Balance work ts awaited,
MAHILA BARRACK,57,OB(BS),Ren Devl works,Punjab,ABR,BOP Mauzam Base,Dept,239- H dated 27/03/2023,50.63,2025-02-06,2025-02-20,2025-04-01,2025-04-09,6.0,2024-10-10,,,M/S Lovish Arora,60.0,,26.84,0.0,26.84,53.01,"Origianl work has been recsined 
Balance work awarded on 09.04.25 and in progress",
MAHILA BARRACK,58,OB(BS),Ren Devl works,Punjab,ABR,BOP Bhainidlawar,Dept,239- H dated 27/03/2023,50.63,2023-11-09,2023-11-14,2023-12-18,2024-04-04,6.0,2024-09-22,2025-03-31,,M/S Satpal Pujani,30.0,,0.515,10.41,10.925,21.58,Work is in progresss,
MAHILA BARRACK,59,OB(BS),Ren Devl works,Punjab,ABR,BOP GG Base,Dept,239- H dated 27/03/2023,50.63,2023-11-09,2023-11-14,2023-12-18,2024-04-01,8.0,2024-09-22,2025-03-31,,M/S Satpal Pujani,35.0,,0.515,11.6,12.115,23.93,Work is in progresss,
MAHILA BARRACK,60,OB(BS),Ren Devl works,Punjab,ABR,BOP Roop Nagar,Dept,239- H dated 27/03/2023,50.63,2023-11-09,2023-11-14,2023-12-18,2024-04-01,8.0,2024-09-22,2025-03-31,,M/S Satpal Pujani,35.0,,0.515,10.65,11.165000000000001,22.05,Work is in progresss,
MAHILA BARRACK,61,OB(BS),Ren Devl works,Rajasthan,SGNR,BOP Khatta,Dept,239- H dated 27/03/2023,49.57,2023-04-27,2023-01-05,2023-08-18,2023-01-09,12.0,2024-08-09,2025-09-25,,M/s Shree Builders SGNR,100.0,,20.22,18.28,38.5,77.67,Work completed,
MAHILA BARRACK,62,OB(BS),Ren Devl works,Rajasthan,SGNR,BOP K S Wala,Dept,239- H dated 27/03/2023,49.57,2023-04-27,2023-01-05,2023-08-17,2023-01-09,12.0,2024-06-09,2025-09-25,,M/s Shree Builders SGNR,100.0,,35.92,3.86,39.78,80.25,Work completed,
MAHILA BARRACK,63,OB(BS),Ren Devl works,Rajasthan,SGNR,BOP Chitrakoot,Dept,239- H dated 27/03/2023,49.57,2023-04-27,2023-01-05,2023-08-18,2023-08-30,12.0,2024-08-09,2025-09-25,,M/s Vyas Constr. SGNR,100.0,,22.39,16.48,38.870000000000005,78.41,Work completed and final bill under process,
MAHILA BARRACK,64,OB(BS),Ren Devl works,Rajasthan,SGNR,BOP Kailash,Dept,239- H dated 27/03/2023,49.57,2023-04-27,2023-01-05,2023-08-17,2023-08-30,12.0,2024-06-09,2025-09-25,,M/s Gupta Constr. SGNR,100.0,,35.62,0.0,35.62,71.86,Work completed,
MAHILA BARRACK,65,OB(BS),Ren Devl works,Rajasthan,SGNR,BOP 24-O,Dept,239- H dated 27/03/2023,49.57,2023-04-27,2023-01-05,2023-08-17,2023-08-09,12.0,2024-06-09,2025-09-25,,M/s Shree Builders SGNR,100.0,,39.6,0.0,39.6,79.89,Work completed,
MAHILA BARRACK,66,OB(BS),Ren Devl works,Rajasthan,SGNR,BOP Binjour,Dept,239- H dated 27/03/2023,49.57,2023-04-27,2023-01-05,2023-08-17,2023-08-30,13.0,2024-06-09,2025-09-25,,M/s Vyas Constr. SGNR,100.0,,31.380000000000003,0.0,31.380000000000003,63.3,Work completed and final bill under process,
MAHILA BARRACK,67,OB(BS),Ren Devl works,Rajasthan,SGNR,OP Madanlal,Dept,239- H dated 27/03/2023,49.57,2023-04-27,2023-01-05,2023-08-17,2023-08-09,12.0,2024-06-09,2025-09-25,,M/s Shree Builders SGNR,100.0,,37.9,0.0,37.9,76.46,Work completed,
MAHILA BARRACK,68,OB(BS),Ren Devl works,Rajasthan,SGNR,BOP Kholi,Dept,239- H dated 27/03/2023,49.57,2023-04-24,2023-01-05,2023-08-17,2023-08-28,12.0,2024-06-09,2025-09-25,,"M/s Surya Builders, SGNR",100.0,,24.96,22.89,47.85,96.53,Work completed,
MAHILA BARRACK,69,OB(BS),Ren Devl works,Rajasthan,SGNR,BOP Naggi,Dept,239- H dated 27/03/2023,49.57,2023-04-27,2023-01-05,2023-08-18,2023-06-09,12.0,2024-08-09,2025-09-25,,M/s Sahil Constr. SGNR,85.0,,22.75,0.0,22.75,45.89,Work is in progress,
MAHILA BARRACK,70,OB(BS),Ren Devl works,Rajasthan,SGNR,BOP 5-S,Dept,239- H dated 27/03/2023,49.57,2023-04-27,2023-01-05,2023-08-17,2023-08-28,12.0,2024-06-09,2025-09-25,,"M/s Surya Builders, SGNR",100.0,,39.01,0.0,39.01,78.7,Work completed,
MAHILA BARRACK,71,OB(BS),Ren Devl works,Rajasthan,SGNR,BOP Khakian,Dept,239- H dated 27/03/2023,49.57,2023-04-27,2023-01-05,2023-08-17,2023-01-09,12.0,2024-06-09,2025-09-25,,M/s Shree Builders SGNR,100.0,,23.11,15.9,39.01,78.7,Work completed,
MAHILA BARRACK,72,OB(BS),Ren Devl works,Rajasthan,SGNR,BOP HMK,Dept,239- H dated 27/03/2023,49.57,2023-04-27,2023-01-05,2023-08-17,2023-08-09,12.0,2024-06-09,2025-09-25,,M/s Shree Builders SGNR,100.0,,31.26,5.59,36.85,74.34,Work completed,
MAHILA BARRACK,73,OB(BS),Ren Devl works,Rajasthan,SGNR,BOP Q-Head,Dept,239- H dated 27/03/2023,49.57,2023-04-27,2023-01-05,2023-08-17,2023-08-09,12.0,2024-06-09,2025-09-25,,M/s Shree Builders SGNR,100.0,,31.82,15.32,47.14,95.1,Work completed,
MAHILA BARRACK,74,OB(BS),Ren Devl works,Rajasthan,SGNR,BOP Khyaliwala,Dept,239- H dated 27/03/2023,49.57,2023-04-28,2023-01-05,2023-08-18,2023-01-09,12.0,2024-08-09,2025-09-25,,M/s Shree Builders SGNR,100.0,,32.16,7.62,39.779999999999994,80.25,Work completed,
MAHILA BARRACK,75,OB(BS),Ren Devl works,Rajasthan,SGNR,BOP Sheikhsarpal,Dept,239- H dated 27/03/2023,49.57,2023-04-28,2023-01-05,2023-08-17,2023-08-28,12.0,2024-06-09,2025-09-25,,"M/s Surya Builders, SGNR",100.0,,24.99,21.93,46.92,94.65,Work completed,
MAHILA BARRACK,76,OB(BS),Ren Devl works,Rajasthan,SGNR,BOP 2 BNM,Dept,239- H dated 27/03/2023,49.57,2023-04-28,2023-01-05,2023-08-18,2023-08-30,12.0,2024-08-09,2025-09-25,,M/s Gupta Constr. SGNR,100.0,,20.02,19.96,39.980000000000004,80.65,Work completed,
MAHILA BARRACK,77,OB(BS),Ren Devl works,Rajasthan,BKNR,BOP Goverdhan,Dept,239- H dated 27/03/2023,49.57,2023-04-25,2023-04-29,2023-07-27,2023-09-08,12.0,2024-08-16,2025-09-25,,M/S HIMGIRI CONSTRUCTION CO. SGNR,100.0,,25.28,11.04,36.32,73.27,Work completed,
MAHILA BARRACK,78,OB(BS),Ren Devl works,Rajasthan,BKNR,BOP K K Tibba,Dept,239- H dated 27/03/2023,49.57,2023-04-25,2023-04-29,2023-07-27,2023-11-08,12.0,2024-08-16,2025-09-25,,M/S Prem Jeet Luthra and Company,85.0,,21.33,0.0,21.33,43.03,Work is in progress,
MAHILA BARRACK,79,OB(BS),Ren Devl works,Rajasthan,BKNR,BOP Sakhi,Dept,239- H dated 27/03/2023,49.57,2023-04-25,2023-04-29,2023-07-27,2023-09-08,12.0,2024-08-16,2025-09-25,,M/S HIMGIRI CONSTRUCTION CO. SGNR,100.0,,30.33,6.77,37.099999999999994,74.84,Work completed,
MAHILA BARRACK,80,OB(BS),Ren Devl works,Rajasthan,BKNR,BOP Jagdev,Dept,239- H dated 27/03/2023,49.57,2023-04-25,2023-04-29,2023-07-27,2023-04-08,12.0,2024-08-16,2025-09-25,,M/S MAMRAJ BHADU CONSTRUCTION . CO. BIKANER (RAJ),100.0,,42.6,0.0,42.6,85.94,Work completed,
MAHILA BARRACK,81,OB(BS),Ren Devl works,Rajasthan,BKNR,BOP Himgiri,Dept,239- H dated 27/03/2023,49.57,2023-04-25,2023-04-29,2023-07-27,2023-04-08,12.0,2024-08-16,2025-09-25,,"MS/ SIYAG CONSTRUCTION COMPANY, BIKANER (RAJ)",100.0,,41.63,2.27,43.900000000000006,88.56,Work completed,
MAHILA BARRACK,82,OB(BS),Ren Devl works,Rajasthan,BKNR,BOP Maruti,Dept,239- H dated 27/03/2023,49.57,2023-04-25,2023-04-29,2023-07-27,2023-11-08,12.0,2024-08-16,2025-09-25,,"M/S Godara Construction Co., Bikaner",40.0,,14.22,0.0,14.22,28.69,"Work is in progress Rs, 7.46  Lakh bill pending with this HQ due to insufficient  fund",
