s_no,source_sheet,budget_head,name_of_scheme,sub_scheme_name,ftr_hq_name,shq_name,location,work_description,executive_agency,aa_es_reference,sd_amount_lakh,ts_date,tender_date,remarks,created_at,updated_at,acceptance_date,time_allowed_days,pdc_agreement,award_date,pdc_revised,completion_date_actual,firm_name,physical_progress_percent,expenditure_previous_fy,expenditure_current_fy,expenditure_total,expenditure_percent,current_status,id,delay_days,expected_progress,health_status,health_score,progress_category,risk_level,priority,status,efficiency_score,quality_score,forecast_completion,budget_variance,monthly_burn_rate,message,row
ENG-1761419859723-11,SAP 2025-26,SAP(BS),Umbrella 2021-28,SAP                  2052-26,Punjab,FTR PB,Jalandhar,Renovation and Up-Gradation of toilet blocks No. 3 of Sports Barrack (120 Men Barrack) at Ftr HQ BSF Jalandhar,Dept,,15.22,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-12,SAP 2025-26,SAP(BS),Umbrella 2021-29,SAP                  2052-26,Punjab,FTR PB,Jalandhar,Renovation and Up-Gradation of toilet blocks of ADM Block at Ftr HQ BSF Punjab,Dept,,16.84,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-13,SAP 2025-26,SAP(BS),Umbrella 2021-30,SAP                  2052-26,Punjab,FTR PB,Jalandhar,Renovation and Up-Gradation of toilets blocks of Guard Rooms near gate No.03 and Main Gate at Ftr HQ BSF Jalandhar Punjab.,Dept,,16.83,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-14,SAP 2025-26,SAP(BS),Umbrella 2021-31,SAP                  2052-26,Punjab,FTR PB,Jalandhar,Providng and fixing of pollution control Chimney for BSF Campus Jalandhar under Ftr HQ BSF Punjab.,Dept,,14.5,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-15,SAP 2025-26,SAP(BS),Umbrella 2021-32,SAP                  2052-26,Punjab,FTR PB,Jalandhar,Providng and fixing of pollution control Chimney for officer mess Kitchen at Ftr HQ BSF Campus Punjab; Jalanndhar.,Dept,,9.98,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-16,SAP 2025-26,SAP(BS),Umbrella 2021-33,SAP                  2052-26,Punjab,ASR,Khasa,Providing & Installation of 50 LPH RO Plant with 120 Ltr Water Cooler at 02 Nos BOPs of 181 BN BSF under SHQ BSF Amritsar.,Dept,,1.76,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-17,SAP 2025-26,SAP(BS),Umbrella 2021-34,SAP                  2052-26,Punjab,ASR,Khasa,C/O RCC Structre and also for water storage tank at BOP Daoke AOR of 181 Bn BSF under SHQ Amritsar,Dept,,5.08,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-18,SAP 2025-26,SAP(BS),Umbrella 2021-35,SAP                  2052-26,Punjab,ASR,Khasa,Imrovement of Jawan Toilet Block at BOP Kahangarh AOR of 181 BN BSF under SHQ BSF Amritsar,Dept,,3.9,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-19,SAP 2025-26,SAP(BS),Umbrella 2021-36,SAP                  2052-26,Punjab,ASR,Bhikiwind,Operation and Maintenance of sewerage tretment Plant ( During the year 2025-26 ) at BSF Campus Bhikiwind under SHQ BSF Amritsar,Dept,,12.74,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-20,SAP 2025-26,SAP(BS),Umbrella 2021-37,SAP                  2052-26,Punjab,ASR,Bhikiwind,Providing & Installation of 50 LPH RO Plant with 120 Ltr Water Cooler at 06 Nos BOPs of 115 BN BSF under SHQ BSF Amritsar.,Dept,,2.97,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-21,SAP 2025-26,SAP(BS),Umbrella 2021-38,SAP                  2052-26,Punjab,ASR,Ramtirath,Imrovement of  Toilet Block of 120 Men Jawan Barrack at BN HQ Ramtirath of 100 BN BSF under SHQ BSF Amritsar,Dept,,16.48,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-22,SAP 2025-26,SAP(BS),Umbrella 2021-39,SAP                  2052-26,Punjab,FZR,Amrkot,Renovation/Up-Gradation of 02 Nos Toilet Block left side of the 120 Men Jawan Barrack (Old) 103 Bn HQ BSF under SHQ BSF Ferozepur,Dept,,10.55,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-23,SAP 2025-26,SAP(BS),Umbrella 2021-40,SAP                  2052-26,Punjab,FZR,Khemkarn,Repair/Maintenance of toilet block at 08 BOPs ( KK Barrier ;MW Uttar; Hardeep ;Prahalad; MP Base; Rattoke; Gajjal& JN  Mohd) of 148 BN BSF under SHQ BSF FZR,Dept,,11.41,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-24,SAP 2025-26,SAP(BS),Umbrella 2021-41,SAP                  2052-26,Punjab,FZR,Jalalabad,Repair/Maintenance of toilet block at 09 BOPs ( Old Gazaniwala ;New Gazaniwala; Joginder ;Rajamohttam ; JR Hittar; Jalloke ;LS Wala ( FWD); LS Wala (TP) & Mastgatti  ) of 158 BN BSF under SHQ BSF FZR,Dept,,14.29,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-25,SAP 2025-26,SAP(BS),Umbrella 2021-42,SAP                  2052-26,Punjab,FZR,KMS Wala,C/O Deep tube well/Bore Well with 20 HP Submersible Pump at BN HQ KMS Wala of 155 BN BSF under SHQ BSF Ferozepur,Dept,,11.42,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-26,SAP 2025-26,SAP(BS),Umbrella 2021-43,SAP                  2052-26,Punjab,Arty HQ,Faridkot,Construction of 02 Nos toilet block near Sand Model ( Adm Block ) and Back side of officers institute at Arty HQ BSF Faridkot (PB),Dept,,15.78,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-27,SAP 2025-26,SAP(BS),Umbrella 2021-44,SAP                  2052-26,Punjab,Arty HQ,Faridkot,Renovation/Up-Gradation of  OLD toilet Block  near Gas Godaown at ARTY HQ BSF Faridkot (PB),Dept,,6.37,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-28,SAP 2025-26,SAP(BS),Umbrella 2021-45,SAP                  2052-26,Punjab,Arty HQ,Faridkot,Augmentation of Existing water supply line at BSF Campus Arty HQ BSF Faridkot ( PB),Dept,,11.07,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-29,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP  Abdullian,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,28.07.2023,19.09.2023,Work completed. 3rd RA Bill amt Rs. 18;02;933/- pending with PAD,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,14.12.2023,270 days,2024-09-22,2023-12-20,28.02.25,26.09.2025,M/s R R Construction,100,24.55,0,24.55,49.05,,,,,,,,,,,,,,,,,
ENG-1761419859723-30,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP  Khatmarian,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,10.07.2025,08.08.2025,Technical bid approved on 07.10.2025 and  Financial bid under proces at Ftr HQ,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-31,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP  Sushil,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,10.07.2025,08.08.2025,Technical bid approved on 07.10.2025 and  Financial bid under proces at Ftr HQ,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-32,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP Mangral,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,28.07.2023,19.09.2023,Work completed & 2nd RA billl amount to Rs.19;89;951/- passed by  PAD,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,13.12.2023,270 days,22.09.24,2023-12-21,31.03.25,23.09.2025,M/s Surinder Mohan Gupta,100,22.790000000000003,19.55,42.34,84.6,,,,,,,,,,,,,,,,,
ENG-1761419859723-33,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP Jugnuchak,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,28.07.2023,11.8.2023,Work completed and 2md RA Bill amounting to Rs. 26;81;644/-passed by PAD,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,22.02.2024,270 days,12.12.2024,2024-03-12,31.03.25,25.09.2025,M/s Surinder Mohan Gupta,100,19.189999999999998,26.82,46.01,91.93,,,,,,,,,,,,,,,,,
ENG-1761419859723-34,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP  Nawapind,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,28.07.2023,11.8.2023,Work completed & bill amount to Rs.15.00 lakh under preparation.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,09.03.2024,270 days,15.12.2024,2024-03-15,31.03.25,23.09.2025,M/s Surinder Mohan Gupta,100,26.28,0,26.28,52.51,,,,,,,,,,,,,,,,,
ENG-1761419859723-35,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP  Baquarpur,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,28.07.2023,11.8.2023,Work completed & 2nd RA bill amount to Rs.18;57;946/-passed by PAD.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,09.03.2024,270 days,15.12.2024,2024-03-15,31.03.25,25.09.2025,M/s Surinder Mohan Gupta,100,25.669999999999998,18.220000000000002,43.89,87.69,,,,,,,,,,,,,,,,,
ENG-1761419859723-36,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP  Octroi,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,28.07.2023,19.09.2023,Work completed & bill amount to Rs.10.53  lakh passed & Rs.15.00 lakh bill under preparation.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,13.12.2023,270 days,17.09.2024,2023-12-22,31.03.25,26.09.2025,M/s R R Construction,100,15.28,10.53,25.81,51.57,,,,,,,,,,,,,,,,,
ENG-1761419859723-37,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP  Karotna Khurd,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,10.07.2025,08.08.2025,Technical bid approved on 07.10.2025 and  Financial bid under proces at Ftr HQ,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-38,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP Vikram,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,28.07.2023,29.11.2023,Work completed & bill amount to Rs.11.44 lakh passed.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,02.01.2024,270 days,13.10.24,2024-01-11,31.03.25,20.09.2025,M/s Dilbag Singh Contractor,100,24.78,11.43,36.21,72.35,,,,,,,,,,,,,,,,,
ENG-1761419859723-39,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP Bullechak,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,10.07.2025,08.08.2025,Technical bid approved on 07.10.2025 and  Financial bid under proces at Ftr HQ,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-40,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP Budhwar,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,28.07.2023,29.11.2023,Work completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,02.01.2024,270 days,13.10.2024,2024-01-11,31.03.25,20.09.2025,M/s Dilbag Singh Contractor,100,27.99,0,27.99,55.92,,,,,,,,,,,,,,,,,
ENG-1761419859723-41,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP S M Pur,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,31.07.2023,19.09.2023,Work in progress & bill amount to Rs.8.22 lakh passed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,14.12.2023,270 days,13.10.2024,2024-01-04,31.03.25,,M/s Swarn Kumar,80,28.37,8.23,36.6,73.13,,,,,,,,,,,,,,,,,
ENG-1761419859723-42,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP Chamliyal,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,28.07.2023,06.10.2023,Work in progress and 3RA bill amounting to Rs.10;17;131/- passed by PAD,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,02.01.2024,270 days,13.10.2024,2024-01-04,31.03.25,,M/s Swarn Kumar,75,27.520000000000003,9.829999999999998,37.35,74.63,,,,,,,,,,,,,,,,,
ENG-1761419859723-43,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP Narayanpur,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,28.07.2023,06.10.2023,Work in progress,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,02.01.2024,270 days,1899-12-30,2024-01-04,31.03.25,,M/s Swarn Kumar,74,28.44,0,28.44,56.82,,,,,,,,,,,,,,,,,
ENG-1761419859723-44,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP Stop-II,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,28.07.2023,29.11.2023,work completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,02.01.2024,270 days,13.10.2024,2024-01-11,28.02.25,25.09.2025,M/s Dilbag Singh Contractor,100,24.830000000000002,0,24.830000000000002,49.61,,,,,,,,,,,,,,,,,
ENG-1761419859723-45,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Karol Krishna,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,13.07.2023,02.08.2023,Work completed & final bill under preparation.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,04.01.2024,360 days,18.01.2025,2024-01-31,28.02.25,18.01.2025,M/s Raj Kumar,100,24.85,0,24.85,49.65,,,,,,,,,,,,,,,,,
ENG-1761419859723-46,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Chandwan,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,13.07.2023,02.08.2023,Work completed & final bill under preparation.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,04.01.2024,360 days,18.01.2025,2024-01-31,28.02.25,07.07.2025,M/s Raj Kumar,100,26.970000000000002,0,26.970000000000002,53.89,,,,,,,,,,,,,,,,,
ENG-1761419859723-47,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Manihari,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,13.07.2023,02.08.2023,Work completed & final bill under preparation.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,01.02.2024,360 days,10.02.2025,2024-02-13,28.02.25,07.07.2025,M/s Raj Kumar,100,26.86,0,26.86,53.67,,,,,,,,,,,,,,,,,
ENG-1761419859723-48,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Vinay,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,13.07.2023,01.09.2023,Work is in progress.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,16.10.2023,360 days,30.10.2024,2023-10-19,31.03.25,,Sh Inderjeet Singh,72,15.89,0,15.89,31.75,,,,,,,,,,,,,,,,,
ENG-1761419859723-49,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Paharpur,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,13.07.2023,01.09.2023,Work in progress & 2nd RA bill amounting Rs. 8;29;321/- passed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,16.10.2023,360 days,26.10.2024,2023-10-19,28.02.25,,Sh Inderjeet Singh,90,11.270000000000001,8.28,19.55,39.06,,,,,,,,,,,,,,,,,
ENG-1761419859723-50,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Bobiya,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,12.07.2023,11.08.2023,Work completed.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,29.08.2023,360 days,10.09.24,2023-09-05,,10.09.2024,M/s Kanwal Nain Behl,100,46.09,0,46.09,92.09,,,,,,,,,,,,,,,,,
ENG-1761419859723-51,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Chakdulma,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,13.07.2023,02.08.2023,Work completed.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,04.01.2024,360 days,01.02.25,01.02.2024,,10.09.2024,M/s Kanwal Nain Behl,100,44.13,0,44.13,88.17,,,,,,,,,,,,,,,,,
ENG-1761419859723-52,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Manguchak,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,13.07.2023,02.08.2023,"Work completed. 1st & Final bill for Rs. 43;03;607/- passed.
",2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,01.02.2024,360 days,09.01.25,2024-02-15,31.01.2025,20.01.25,Bharat Bhusan Gupta,100,0.37,43.04,43.41,86.73,,,,,,,,,,,,,,,,,
ENG-1761419859723-53,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Chilliyari,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,13.07.2023,02.08.2023,Work completed. Bill for Rs. 25;34;783/- pending with HQ.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,29.08.2023,360 days,09.09.24,2023-09-05,,20.12.24,M/s Bharat Bhusan Gupta,100,19.42,0,19.42,38.8,,,,,,,,,,,,,,,,,
ENG-1761419859723-54,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Galar,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,13.07.2023,02.08.2023,Work completed. 2nd & final bill for Rs. 16;56;635/-  pending with HQ.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,29.08.2023,360 days,09.09.24,2023-09-08,31.12.2024,30.12.24,M/s Surinder Mohan Gupta,100,24.94,0,24.94,49.83,,,,,,,,,,,,,,,,,
