s_no,source_sheet,budget_head,name_of_scheme,sub_scheme_name,ftr_hq_name,shq_name,location,work_description,executive_agency,aa_es_reference,sd_amount_lakh,ts_date,tender_date,acceptance_date,award_date,time_allowed_days,pdc_agreement,pdc_revised,firm_name,physical_progress_percent,expenditure_previous_fy,expenditure_current_fy,expenditure_total,expenditure_percent,remarks,created_at,updated_at,completion_date_actual,current_status
ENG-1759510506319-15,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP Narayanpur,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,28.07.2023,06.10.2023,02.01.2024,2024-01-04,9,13.10.2024,31.03.25,M/s Swarn Kumar,74,28.44,-28.44,0,0,Work in progress,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-16,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP Stop-II,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,28.07.2023,29.11.2023,02.01.2024,2024-01-11,9,13.10.2024,28.02.25,M/s Dilbag Singh Contractor,99,24.830000000000002,-24.830000000000002,0,0,Work in progress,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-17,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Karol Krishna ,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,13.07.2023,02.08.2023,04.01.2024,2024-01-31,11,18.01.2025,28.02.25,M/s Raj Kumar,100,24.85,-24.85,0,0,Work completed & final bill under preparation.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-18,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Chandwan,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,13.07.2023,02.08.2023,04.01.2024,2024-01-31,11,18.01.2025,28.02.25,M/s Raj Kumar,100,26.970000000000002,-26.970000000000002,0,0,Work completed & final bill under preparation.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-19,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Manihari ,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,13.07.2023,02.08.2023,01.02.2024,2024-02-13,12,10.02.2025,28.02.25,M/s Raj Kumar,100,26.86,-26.86,0,0,Work completed & final bill under preparation.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-20,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Vinay,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,13.07.2023,01.09.2023,16.10.2023,2023-10-19,12,30.10.2024,31.03.25,Sh Inderjeet Singh,72,15.89,-15.89,0,0,Work is in progress.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-21,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Paharpur ,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,13.07.2023,01.09.2023,16.10.2023,2023-10-19,12,26.10.2024,28.02.25,Sh Inderjeet Singh,90,11.270000000000001,-11.270000000000001,0,0,Work in progress & 2nd RA bill amounting Rs. 8;29;321/- passed,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-22,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Bobiya,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,12.07.2023,11.08.2023,29.08.2023,2023-09-05,12,10.09.24,,M/s Kanwal Nain Behl,100,46.09,-46.09,0,0,Work completed.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,10.09.2024,
ENG-1759510506319-23,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Chakdulma,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,13.07.2023,02.08.2023,04.01.2024,01.02.2024,11,01.02.25,,M/s Kanwal Nain Behl,100,44.13,-44.13,0,0,Work completed.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,10.09.2024,
ENG-1759510506319-24,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Manguchak,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,13.07.2023,02.08.2023,01.02.2024,2024-02-15,11,09.01.25,,Bharat Bhusan Gupta,100,0.37,-0.37,0,0,"Work completed. 1st & Final bill for Rs. 43;03;607/- passed.
",2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,20.01.25,
ENG-1759510506319-25,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Chilliyari ,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,13.07.2023,02.08.2023,29.08.2023,2023-09-05,12,09.09.24,,M/s Bharat Bhusan Gupta,100,19.42,-19.42,0,0,Work completed. Bill for Rs. 25;34;783/- pending with HQ.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,20.12.24,
ENG-1759510506319-26,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR, BOP Galar,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,13.07.2023,02.08.2023,29.08.2023,2023-09-08,12,09.09.24,,M/s Surinder Mohan Gupta,100,24.94,-24.94,0,0,Work completed. 2nd & final bill for Rs. 16;56;635/-  pending with HQ.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,30.12.24,
ENG-1759510506319-27,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Malluchak,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,13.07.2023,02.08.2023,29.08.2023,2023-09-05,12,10.09.24,,M/s Virendra Builders,100,31.92,-31.92,0,0,Work completed. 4th & final bill for  Rs. 7;77;880/-  passed,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,10.09.2024,
ENG-1759510506319-28,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Ballhar,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,13.07.2023,02.08.2023,29.08.2023,2023-09-06,12,09.09.24,,M/s Virendra Builders,100,35.4,-35.4,0,0,Work completed. 4th & final bill for Rs. 7;14;326/-  pending with HQ.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,21.01.25,
ENG-1759510506319-29,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR, BOP Suresh,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,13.07.2023,11.08.2023,29.08.2023,2023-09-05,12,05.09.24,,M/s Surinder Mohan Gupta,100,26.05,-26.05,0,0,"Work completed. 2nd & final bill for Rs. 15;94;764/-  pending with HQ.
",2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,30.12.24,
ENG-1759510506319-30,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,SBN,BOP Beliazmat,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,08.09.2023,29.09.2023,27.10.2023,2023-10-31,7,2024-06-29,31.03.25,Sh Swarn Kumar,92,37.86,-37.86,0,0,Work in progress.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-31,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,SBN,BOP Nikowal ,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,08.09.2023,29.09.2023,27.10.2023,2023-10-31,7,30.06.24,31.03.25,Sh Swarn Kumar,92,31.16,-31.16,0,0,Work in progress and 3rd RA bill amounting to Rs.11;33;875/- pending with HQ.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-32,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,SBN,BOP Malabela,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,08.09.2023,29.09.2023,27.10.2023,2023-10-31,7,30.06.24,31.03.25,Sh Swarn Kumar,96,29.08,-29.08,0,0,Work in progress and 3rd RA bill amounting to Rs.11;58;756/- pending with HQ.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-33,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,GSP,BOP Abad,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,20.07.2023,05.09.2023,29.09.2023,2023-10-18,240,29.05.2024,31.03.25,M/S The Dehriwal Kiran,100,23.54,13.65672,37.19672,73.47,Work Completed ,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,31.07.25,
ENG-1759510506319-34,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,GSP,BOP Kassowal Fwd,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,04.05.2023,05.09.2023,05.09.2023,2023-09-20,240,13.05.2024,31.03.25,M/S Ajit Trading Company,60,16.53,0,16.53,32.65,Work in progress.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-35,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,GSP,BOP Thakurpur,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,20.07.2023,05.09.2023,05.09.2023,2023-09-17,240,13.05.2024,31.03.25,M/S Goraya & Co.,100,39.444950000000006,0.22,39.664950000000005,78.34,Work completed  in all respect,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,28.11.25,
ENG-1759510506319-36,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,GSP,BOP Jaitpur,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,20.07.2023,05.09.2023,05.09.2023,2023-09-17,240,13.05.2024,31.03.25,M/S Goraya & Co.,85,22.1669,0,22.1669,43.78,Work in progress.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-37,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,GSP,BOP Bamial New tent Post,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,04.05.2023,14.11.2023,05.09.2023,2023-09-17,240,11.05.2024,31.03.25,M/S Goraya & Co.,100,27.1,0,27.1,53.53,Work Completed ,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,28.03.25,
ENG-1759510506319-38,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,GSP,BOP Chountra,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,09.11.2023,14.11.2023,01.01.2024,2024-01-29,270,30.09.2024,31.03.25,M/S Baldev Raj,50,8.52338,3.8829,12.406279999999999,24.5,Work in progress.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-39,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,GSP,BOP Lassian ,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,09.11.2023,14.11.2023,01.01.2024,2024-01-09,270,30.09.2024,31.03.25,M/S Baldev Raj,45,10.8199,4.42958,15.24948,30.12,Work Complted ,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-40,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ASR,BOP Daoke,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,04.05.2023,26.07.2023,21.09.2023,2023-10-09,180,29.03.2024,31.12.24,M/S Competent Engineers,100,34.48401,12.76,47.244009999999996,93.31,work in progress.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,12.12.2024,
ENG-1759510506319-41,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ASR,BOP Karma,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,04.05.2023,26.07.2023,08.09.2023,2023-10-10,180,16.03.2024,31.12.24,M/S Singh Traders,46,16.07,6.92,22.990000000000002,45.41,work in progress.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-42,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ASR,BOP Kalamdogar,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,04.05.2023,26.07.2023,08.09.2023,2023-09-24,180,16.03.2024,31.12.24,M/S Gill Trading Co.,100,45.82,0,45.82,90.5,Work completed,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,12.12.2024,
ENG-1759510506319-43,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ASR,BOP Khalra,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,04.05.2023,26.07.2023,08.09.2023,2023-09-24,180,16.03.2024,31.12.24,M/S Competent Engineers,100,31.70556,15.07,46.77556,92.39,Work completed,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,02.09.2025,
ENG-1759510506319-44,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,FZR,BOP Kalia,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,03.05.2023,18.07.2023,11.09.2023,2023-09-28,180,19.03.2024,30.10.24,M/S Jayant Construction,100,42.71234,0,42.71234,84.36,Work completed,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,30.10.24,
ENG-1759510506319-45,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,FZR,BOP Harbhajan,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,03.05.2023,18.07.2023,08.09.2023,2023-10-09,180,16.03.2024,05.10.24,M/S Hardev Singh,100,42.62256,0,42.62256,84.18,Work completed,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,05.10.24,
ENG-1759510506319-46,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,FZR,BOP Kulwant ,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,03.05.2023,29.08.2023,12.09.2023,2023-09-28,180,20.03.2024,30.10.24,M/S Jayant Construction,100,40.0608,0,40.0608,79.12,Work completed,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,30.10.24,
ENG-1759510506319-47,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,FZR,BOP Bastiranlal,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,03.05.2023,29.08.2023,09.09.2023,2023-10-09,180,17.03.2024,15.11.24,M/S Ramandeep Singh,60,22.19127,0,22.19127,43.83,work in progress ,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-48,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,FZR,BOP Ullok,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,03.05.2023,18.07.2023,09.09.2023,2023-09-28,180,17.03.2024,30.10.24,M/S Manjeet Singh,100,23.747290000000003,11.7,35.44729,70.01,Work completed,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,30.10.24,
ENG-1759510506319-49,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,FZR,BOP L S Wala (FWD),C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,03.05.2023,18.07.2023,09.09.2023,2023-10-09,180,17.03.2024,30.10.24,M/S Ramandeep Singh,100,29.539279999999998,14.08,43.619279999999996,86.15,work in progress ,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,30.10.24,
ENG-1759510506319-50,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,FZR,BOP Rajamohatam,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,03.05.2023,29.08.2023,09.09.2023,2023-09-28,180,17.03.2024,15.10.24,M/S Arvind Kumar & Co.,100,22.459,21.68,44.138999999999996,87.18,Work completed,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,15.10.24,
ENG-1759510506319-51,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ABR,BOP Nauberam,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,6.02.2025,20.02.2025,01.04.2025,15.04.2025,180,10.10.2025,31.03.26,M/S Arvind Kumar & Co.,45,19.16,0,19.16,37.84,"Work has been recsined 
Balance work awarded on 15.04.25 and in progress",2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-52,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ABR,BOP N S Wala,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,6.02.2025,20.02.2025,01.04.2025,15.04.2025,180,2025-10-09,31.03.26,M/S Arvind Kumar & Co.,30,13.83,0,13.83,27.32,"Origianl work has been recsined 
Balance work awarded on 15.04.25 and in progress",2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-53,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ABR,BOP Samaske,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,6.02.2025,20.02.2025,01.04.2025,09.04.2025,180,2025-10-09,31.03.26,M/S Lovish Arora,60,20.93,14.84,35.769999999999996,70.65,"Origianl work has been recsined 
Balance work awarded on 09.04.25 and in progress",2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-54,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ABR,BOP Tahil Wala,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,6.02.2025,20.02.2025,24.07.2025,30.07.2025,180,03.02.2026,31.03.26,Ms Ramesh Kumar Nikhang,30,11.549999999999999,0,11.549999999999999,22.81,"Origianl work has been recsined 
Balance work awarded on 10.08.25 and in progress.",2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-55,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ABR,BOP Lakha Asli,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,6.02.2025,20.02.2025,01.04.2025,09.04.2025,180,2025-10-09,31.03.26,Ms Ramesh Kumar Nikhang,55,14.63,14.69,29.32,57.91,"Origianl work has been recsined 
Balance work awarded on 09.04.25 and in progress",2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-56,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ABR,BOP GG-I ,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,06.02.2025,16.07.2025,18.08.2025,27.08.2025,180,27.02.2026,31.03.26,M/s Surya Builders; SGNR,5,1.6,0,1.6,3.16,Work has been recined Balance work ts awaited ,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-57,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ABR,BOP Mauzam Base,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.63,6.02.2025,20.02.2025,01.04.2025,09.04.2025,180,2024-10-09,31.03.26,M/S Lovish Arora ,65,26.84,9.87,36.71,72.51,"Origianl work has been recsined 
Balance work awarded on 09.04.25 and in progress",2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
