S/No.,source_sheet,Name of Ftr HQ,Budget head,Allotment Previous Financila year,Expdr previous year,Liabilities,Fresh Sanction issued during CFY,Effective sanction,Allotment CFY,Expdr booked as per e-lekha as on 22/07/25,% Age of expdr as per e-lekha,Bill pending with PAD,Bill pending with HQrs,Total Expdr as per contengency register,% Age of total Expdr,Balance fund,Expdr booked as per e-lekha as on 31/03/25,created_at,updated_at,Name of scheme
ECY-1759510631867-38,CONSOLIDATED,Rajasthan ,BOP(IA),51.35,348.49,299.75,0,299.75,1646.66,1168.5,70.96,0,46.55,1215.05,73.79,431.6100000000001,51.21,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-39,CONSOLIDATED,Rajasthan ,SAP(BS),166.02,73.83,2053.06,15.69,2068.75,290,150.29,51.82,32.7,0,182.99,63.1,15,165.99,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-40,CONSOLIDATED,Rajasthan ,BIMW(IA),963.29,,1972.44,0,1972.44,320,285.77,89.3,0,731.94,1017.71,318.03,-697.71,957.78,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,Mahila Barrack
ECY-1759510631867-41,CONSOLIDATED,Rajasthan ,BIMW(IA),230,,764.77,0,764.77,127,0,0,153,62.32,215.32,169.54,-88.32,231.49,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,OP/ACP Shelters
ECY-1759510631867-42,CONSOLIDATED,Rajasthan ,BIMW(IA),89.05,,131.19,0,131.19,37.77,0,0,0,0,0,0,37.77,88.99,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,Porta toilet 
ECY-1759510631867-43,CONSOLIDATED,Rajasthan ,BIMW(IA),0,,4232.67,0,4232.67,100,0,0,0,0,0,0,100,0,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,Solater water heaters
ECY-1759510631867-44,CONSOLIDATED,Rajasthan ,BIMW(IA),,,0,0,0,0,0,,0,0,0,,0,,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,25 KWPH Solar plants 
ECY-1759510631867-45,CONSOLIDATED,Rajasthan ,MCEW,,,0,0,0,719,317.86,44.21,85.14,0,403,56.05,,,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-46,CONSOLIDATED,Rajasthan ,BM(MCEW),762,823.74,621.62,114.86,736.48,353,264.19,74.84,87.55,151.31,503.05,142.51,20,758.23,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-47,CONSOLIDATED,Rajasthan ,Land ,738,597.19,384.93,19.37,404.3,781.55,133.09,17.03,2.43,148.82,284.34000000000003,36.38,75,727.46,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-48,CONSOLIDATED,Gujarat,OB(BS),198.77,643.18,6361.21,0,6361.21,800,443.1,55.39,39.24,0,482.34000000000003,60.29,317.65999999999997,198.75,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-49,CONSOLIDATED,Gujarat,RB(BS),116.55,35.46,90.58,0,90.58,90.58,26.24,28.97,0,14.1,40.339999999999996,44.54,50.24,116.52,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-50,CONSOLIDATED,Gujarat,BOP(IA),78.81,199.99,487.02,0,487.02,361.62,167.8,46.4,19.6,0,187.4,51.82,174.22,78.05,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-51,CONSOLIDATED,Gujarat,SAP(BS),77.26,33.98,360.19,0,360.19,253.23,175.2,69.19,7.67,0,182.86999999999998,72.21,70.36000000000001,77.25,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-52,CONSOLIDATED,Gujarat,BIMW(IA),470,,1178.67,0,1178.67,240,259.59,108.16,36.14,0,295.72999999999996,123.22,-55.72999999999996,433,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,Mahila Barrack
ECY-1759510631867-53,CONSOLIDATED,Gujarat,BIMW(IA),31.6,,73.98,0,73.98,70.74,0,0,0,0,0,0,70.74,66.26,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,Porta toilet 
ECY-1759510631867-54,CONSOLIDATED,Gujarat,BIMW(IA),150,,650.3,0,650.3,98,84.89,86.62,6.36,0,91.25,93.11,6.75,149.03,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,OP/ACP Shelters
ECY-1759510631867-55,CONSOLIDATED,Gujarat,BIMW(IA),0,,3410.79,0,3410.79,100,0,0,0,0,0,0,100,0,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,Solater water heaters
ECY-1759510631867-56,CONSOLIDATED,Gujarat,BIMW(IA),70,,515.54,0,515.54,0,0,,0,0,0,,0,69.41,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,25 KWPH Solar plants 
ECY-1759510631867-57,CONSOLIDATED,Gujarat,MCEW,557.46,829.04,313.48,59.96,373.44,796.32,221.41,27.8,26.5,0,247.91,31.13,548.4100000000001,556.05,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-58,CONSOLIDATED,Gujarat,BM(MCEW),507,849.32,458.71,59.89,518.6,575,288.55,50.18,0,0,288.55,50.18,286.45,503.59,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-59,CONSOLIDATED,STC U/Pur,OB(BS),238.55,107.82,787.11,0,787.11,540.75,260.81,48.23,0,0,260.81,48.23,279.94,238.54,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-60,CONSOLIDATED,STC U/Pur,MCEW,89.39,88.98,7.38,43,50.38,80,34.07,42.59,0,34.18,68.25,85.31,11.75,89.32,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-61,CONSOLIDATED,STC U/Pur,SAP(BS),10.92,5.16,64.52,0,64.52,50,17.91,35.82,0,0,17.91,35.82,32.09,10.91,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-62,CONSOLIDATED,STC KMR,OB(BS),169.26,178,1397.25,0,1397.25,300,99.62,33.21,0,0,99.62,33.21,200.38,169.26,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-63,CONSOLIDATED,STC KMR,MCEW,40,133,23.58,61.77,85.35,40,18.66,46.65,4.93,0,23.59,58.98,16.41,39.7,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-64,CONSOLIDATED,STC KMR,SAP(BS),31,126.2,102.56,0,102.56,50,31.81,63.62,0,0,31.81,63.62,18.19,31,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-65,CONSOLIDATED,STC K/Camp,OB(BS),153.33,289.65,933.64,0,933.64,300,112.57,37.52,0,7,119.57,39.86,180.43,153.33,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-66,CONSOLIDATED,STC K/Camp,MCEW,100,151,61.93,17.55,79.48,60,37.82,63.03,0.5,0,38.32,63.87,21.68,89.05,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-67,CONSOLIDATED,STC K/Camp,SAP(BS),38.55,78.44,108.27,0,108.27,50,22.04,44.08,0,8,30.04,60.08,19.96,38.55,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-68,CONSOLIDATED,Arty HQ FDK,OB(BS),1.52,0,1728,0,1728,300,8.6,2.87,0,0,8.6,2.87,291.4,1.52,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-69,CONSOLIDATED,Arty HQ FDK,MCEW,55,164,40.83,14.69,55.519999999999996,30,13.45,44.83,0,2.06,15.51,51.7,14.49,42.62,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-70,CONSOLIDATED,Arty HQ FDK,SAP(BS),1.56,71.56,0,21.93,21.93,0,0,,0,0,0,,0,,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-71,CONSOLIDATED,HQ SDG(WC),OB(BS),0,0,2925.07,0,2925.07,50,25.33,50.66,24.23,0.88,50.440000000000005,100.88,-0.44000000000000483,,2025-10-03T16:57:11.872Z,2025-10-03T16:57:11.872Z,
ECY-1759510631867-72,CONSOLIDATED,HQ SDG(WC),RB(BS),,,0,0,0,12,0,0,5.48,1.88,7.36,61.33,4.64,,2025-10-03T16:57:11.872Z,2025-10-03T16:57:11.872Z,
ECY-1759510631867-73,CONSOLIDATED,HQ SDG(WC),MCEW,108.56,134.44,92.48,258.79,351.27000000000004,300,111.07,37.02,0,5,116.07,38.69,183.93,108.49,2025-10-03T16:57:11.872Z,2025-10-03T16:57:11.872Z,
ECY-1759510631867-74,CONSOLIDATED,HQ SDG(WC),SAP(BS),103.5,0,88.58,0,88.58,40,39.99,99.98,0,53,92.99000000000001,232.48,-52.99000000000001,103.5,2025-10-03T16:57:11.872Z,2025-10-03T16:57:11.872Z,
ECY-1759510631867-75,CONSOLIDATED,HQ SDG(WC),M&E(Gen),103.5,0,35.7,117.91,153.61,143.46,101.98,71.09,3.45,0,105.43,73.49,38.03,103.5,2025-10-03T16:57:11.872Z,2025-10-03T16:57:11.872Z,
ECY-1759510631867-76,CONSOLIDATED,HQ SDG(WC),R&M,103.5,0,25.93,2.42,28.35,30,12.7,42.33,0.54,0,13.239999999999998,44.13,16.76,103.5,2025-10-03T16:57:11.872Z,2025-10-03T16:57:11.872Z,
